Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,208,Hotels,F5.7,F,5.7,Brand Visited,Windsor Castle Hotel Visitors,Windsor Castle Hotel , ,Travel,Accommodation,Low,,,
,130,Cuisine,E4,E,4,Interests,World Cuisines,World Cuisines,,Food,Fast Casual Food,Low,,,
,316,Transportation,J3,J,3,Brand Visited,Wilson Parking Visitors,Wilson Parking ,,Transportation,Transport,Low,,,
,104,Parenting,C7,C,7,Geo Behaviour,Working Parents,Working Parents,,Family And Relationships,Marital Status,Low,,,
,259,Sports,H2,H,2,Brand Visited,Williams Visitors,Williams , ,Hobbies And Activities,Sports,Low,,,
,156,Coffeehouses,E6.1,E,6.1,Brand Visited,Wild Bean Cafe Visitors,Wild Bean Cafe ,,Beverage,Non Alcoholic,Low,,,
N,,,,,,Place categories,Wholesale Store Visitors,Wholesale Store,,,,,,,
,259,Sports,H2,H,2,Brand Visited,Whitworths Marine & Leisure Visitors,Whitworths Marine & Leisure , ,Hobbies And Activities,Sports,Low,,,
,13,Management,A11,A,11,Interests,Work Management,Work Management,& Work Management,Business,Management,Low,,,
,6,Business,A5,A,5,Interests,Work Management,Work Management,& Work Management,Business,Professional,Low,,,
,331,Nursing,K1,K,1,Brand Visited,Whiddon Visitors,Whiddon ,,Social,Personal Wellness,Low,,,
,51,Word games,B1.20,B,1.2,App Category,Word Games,Word Games,,Hobbies And Activities,Games,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Westside Hotel Visitors,Westside Hotel , ,Travel,Accommodation,Low,,,
,22,Banking,A13.7,A,13.7,Brand Visited,Westpac Visitors,Westpac ,,Finance,Banking,Low,,,
,164,Grocery,E9,E,9,Brand Visited,Woolworths,Woolworths,,Shopping & Fashion,Grocery,Low,,,
,344,Hardware,M6,M,6,Brand Visited,Woodworking,Woodworking,,Home And Garden,Hardware,Low,,,
,331,Nursing,K1,K,1,Brand Visited,Western Diagnostic Pathology Visitors,Western Diagnostic Pathology ,,Social,Personal Wellness,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,West Beach Sports And Leisures Resort Visitors,West Beach Sports And Leisures Resort , ,Hobbies And Activities,Sports equipment,Low,,,
,116,Food and drink,E,E,,Brand Visited,Wendy's Milk Bar Visitors,Wendy's Milk Bar ,,Restaurants,Food & Drink,Low,,,
